,locus_tag,protein_id,name
113,I6J27_00570,QRP18998,response regulator transcription factor
114,I6J27_00575,QRP18999,hypothetical protein
115,I6J27_00580,QRP19000,ParA family protein
116,I6J27_00585,QRP19001,hypothetical protein
117,I6J27_00590,118,replication initiation protein
118,I6J27_00595,119,IS3 family transposase
119,I6J27_00600,120,IS30 family transposase
120,I6J27_00605,QRP19002,hypothetical protein
121,I6J27_00610,QRP19003,pyridoxal-phosphate dependent enzyme
122,I6J27_00615,QRP19004,FAD/NAD(P)-binding protein
123,I6J27_00620,QRP19005,Y4yA family PLP-dependent enzyme
124,I6J27_00625,QRP20078,DUF1990 domain-containing protein
125,I6J27_00630,QRP19006,DEAD/DEAH box helicase family protein
126,I6J27_00635,QRP19007,DEAD/DEAH box helicase family protein
127,I6J27_00640,QRP19008,hypothetical protein
128,I6J27_00645,QRP19009,putative DNA binding domain-containing protein
129,I6J27_00650,QRP19010,restriction endonuclease subunit S
130,I6J27_00655,131,IS3 family transposase
131,I6J27_00660,QRP19011,hypothetical protein
132,I6J27_00665,QRP19012,50S ribosomal protein L1
133,I6J27_00670,QRP19013,50S ribosomal protein L11
134,I6J27_00675,QRP19014,transcription termination/antitermination protein NusG
135,I6J27_00680,QRP19015,preprotein translocase subunit SecE
136,I6J27_00705,QRP19016,polyprenyl synthetase family protein
137,I6J27_00710,QRP19017,geranylgeranyl reductase family protein
138,I6J27_00715,QRP19018,demethylmenaquinone methyltransferase
139,I6J27_00720,QRP19019,glycosyltransferase family 1 protein
140,I6J27_00725,QRP19020,DUF3592 domain-containing protein
141,I6J27_00730,QRP19021,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase
142,I6J27_00735,QRP19022,hypothetical protein
143,I6J27_00740,QRP19023,excinuclease ABC subunit UvrA
144,I6J27_00745,QRP19024,o-succinylbenzoate synthase
145,I6J27_00750,QRP19025,C4-dicarboxylate transporter DcuC
146,I6J27_00755,QRP19026,"1,4-dihydroxy-2-naphthoyl-CoA synthase"
147,I6J27_00760,QRP19027,hypothetical protein
148,I6J27_00765,149,DoxX family membrane protein
149,I6J27_00770,QRP20079,zinc ABC transporter substrate-binding protein
150,I6J27_00775,QRP19028,ATP-binding cassette domain-containing protein
151,I6J27_00780,QRP20080,metal ABC transporter permease
152,I6J27_00785,QRP19029,metal ABC transporter permease
153,I6J27_00790,QRP19030,o-succinylbenzoate--CoA ligase
154,I6J27_00795,QRP20081,metal-dependent transcriptional regulator
155,I6J27_00800,QRP19031,"1,4-dihydroxy-2-naphthoate polyprenyltransferase"
156,I6J27_00805,157,MFS transporter
157,I6J27_00810,158,ATP-binding protein
158,I6J27_00815,QRP19032,IS21 family transposase
159,I6J27_00820,160,MFS transporter
160,I6J27_00825,QRP19033,DUF4229 domain-containing protein
161,I6J27_00830,QRP19034,hypothetical protein
162,I6J27_00835,QRP19035,helix-turn-helix transcriptional regulator
163,I6J27_00840,QRP19036,c-type cytochrome biogenesis protein CcsB
164,I6J27_00845,QRP19037,cytochrome c biogenesis protein ResB
165,I6J27_00850,QRP19038,cytochrome c biogenesis protein CcdA
166,I6J27_00855,QRP19039,TlpA family protein disulfide reductase
167,I6J27_00860,QRP19040,histidine phosphatase family protein
168,I6J27_00865,QRP19041,"glutamate-1-semialdehyde 2,1-aminomutase"
169,I6J27_00870,QRP19042,hypothetical protein
170,I6J27_00875,QRP19043,NAD(P)-dependent oxidoreductase
171,I6J27_00880,QRP19044,Fic family protein
172,I6J27_00885,QRP19045,ATP-binding cassette domain-containing protein
173,I6J27_00890,QRP19046,ABC transporter permease
174,I6J27_00895,QRP19047,ABC-F family ATP-binding cassette domain-containing protein
175,I6J27_00900,QRP19048,GntR family transcriptional regulator
176,I6J27_00905,QRP19049,DUF1648 domain-containing protein
177,I6J27_00910,QRP19050,IS1634 family transposase
178,I6J27_00915,QRP19051,protoporphyrinogen oxidase
179,I6J27_00920,QRP19052,uroporphyrinogen decarboxylase
180,I6J27_00925,QRP19053,tellurium resistance protein TerC
181,I6J27_00930,QRP20082,hypothetical protein
182,I6J27_00935,QRP19054,porphobilinogen synthase
183,I6J27_00940,QRP19055,uroporphyrinogen-III synthase
184,I6J27_00945,QRP19056,hydroxymethylbilane synthase
185,I6J27_00950,QRP19057,glutamyl-tRNA reductase
186,I6J27_00955,QRP19058,glutaredoxin family protein
187,I6J27_00960,QRP19059,HAD-IB family hydrolase
188,I6J27_00965,QRP19060,AURKAIP1/COX24 domain-containing protein
189,I6J27_00970,QRP19061,helix-turn-helix domain-containing protein
190,I6J27_00975,QRP19062,pyrroline-5-carboxylate reductase
191,I6J27_00980,QRP19063,hypothetical protein
192,I6J27_00985,QRP19064,Ppx/GppA family phosphatase
193,I6J27_00990,QRP19065,hypothetical protein
194,I6J27_00995,QRP19066,response regulator transcription factor
195,I6J27_01000,QRP19067,two-component sensor histidine kinase
196,I6J27_01005,QRP19068,phosphoglyceromutase
197,I6J27_01010,QRP19069,hypothetical protein
198,I6J27_01015,QRP19070,hypothetical protein
199,I6J27_01020,QRP19071,ATP-binding cassette domain-containing protein
200,I6J27_01025,QRP19072,response regulator transcription factor
201,I6J27_01030,QRP19073,two-component sensor histidine kinase
202,I6J27_01035,QRP19074,D-inositol-3-phosphate glycosyltransferase
203,I6J27_01040,QRP19075,long-chain fatty acid--CoA ligase
204,I6J27_01045,QRP19076,DoxX family protein
205,I6J27_01050,QRP19077,long-chain fatty acid--CoA ligase
206,I6J27_01055,QRP19078,long-chain fatty acid--CoA ligase
207,I6J27_01060,QRP19079,DUF1729 domain-containing protein
208,I6J27_01065,QRP19080,ThiF family adenylyltransferase
209,I6J27_01070,QRP19081,MFS transporter
210,I6J27_01075,211,hypothetical protein
211,I6J27_01080,212,IS3 family transposase
212,I6J27_01085,QRP19082,ATP-binding protein
213,I6J27_01090,QRP19083,IS21 family transposase
214,I6J27_01095,215,IS3 family transposase
215,I6J27_01100,QRP19084,transposase
216,I6J27_01105,217,IS3 family transposase
217,I6J27_01110,218,IS3 family transposase
218,I6J27_01115,QRP19085,Fic family protein
219,I6J27_01120,QRP19086,RtcB family protein
220,I6J27_01125,QRP19087,hypothetical protein
221,I6J27_01130,QRP19088,hypothetical protein
222,I6J27_01135,QRP19089,hypothetical protein
223,I6J27_01140,QRP19090,SDR family oxidoreductase
224,I6J27_01145,QRP19091,hypothetical protein
225,I6J27_01150,QRP19092,hypothetical protein
226,I6J27_01155,QRP19093,ISL3 family transposase
227,I6J27_01160,QRP19094,DEAD/DEAH box helicase
228,I6J27_01165,QRP19095,ATP-binding protein
229,I6J27_01170,QRP19096,hypothetical protein
230,I6J27_01175,QRP19097,S-ribosylhomocysteine lyase
231,I6J27_01180,QRP19098,aldo/keto reductase
232,I6J27_01185,QRP19099,hypothetical protein
233,I6J27_01190,QRP19100,UDP-N-acetylmuramate dehydrogenase
234,I6J27_01195,QRP19101,DUF2505 domain-containing protein
235,I6J27_01200,QRP19102,class I SAM-dependent methyltransferase
236,I6J27_01205,QRP19103,DUF2993 domain-containing protein
237,I6J27_01210,QRP19104,deoxyribose-phosphate aldolase
238,I6J27_01215,QRP19105,DUF2516 family protein
239,I6J27_01220,QRP19106,hypothetical protein
240,I6J27_01225,QRP19107,DUF445 family protein
241,I6J27_01230,QRP19108,hypothetical protein
242,I6J27_01235,QRP19109,succinate dehydrogenase/fumarate reductase iron-sulfur subunit
243,I6J27_01240,QRP19110,fumarate reductase/succinate dehydrogenase flavoprotein subunit
244,I6J27_01245,QRP19111,succinate dehydrogenase cytochrome b subunit
245,I6J27_01250,QRP19112,acetate metabolism transcriptional regulator RamB
246,I6J27_01255,QRP19113,dihydrolipoyl dehydrogenase
247,I6J27_01260,QRP19114,esterase family protein
248,I6J27_01265,QRP19115,M1 family metallopeptidase
249,I6J27_01270,QRP19116,DUF222 domain-containing protein
250,I6J27_01275,QRP19117,"dTDP-glucose 4,6-dehydratase"
251,I6J27_01280,QRP19118,sugar nucleotide-binding protein
252,I6J27_01285,QRP19119,glucose-1-phosphate thymidylyltransferase RfbA
253,I6J27_01290,QRP19120,MBL fold metallo-hydrolase
254,I6J27_01295,QRP19121,S-(hydroxymethyl)mycothiol dehydrogenase
255,I6J27_01300,QRP19122,hydrolase
256,I6J27_01305,QRP19123,AMP-binding protein
257,I6J27_01310,258,IS256 family transposase
258,I6J27_01315,259,tRNA-dihydrouridine synthase
259,I6J27_01320,QRP19124,hypothetical protein
260,I6J27_01325,QRP19125,HtaA domain-containing protein
261,I6J27_01330,QRP19126,hypothetical protein
262,I6J27_01335,263,IS256 family transposase
263,I6J27_01340,QRP19127,transposase
264,I6J27_01345,QRP19128,IS3 family transposase
265,I6J27_01350,QRP19129,hypothetical protein
266,I6J27_01360,QRP19130,DNA polymerase III subunit delta'
267,I6J27_01365,QRP19131,HAMP domain-containing protein
268,I6J27_01370,QRP20083,DUF418 domain-containing protein
269,I6J27_01375,QRP19132,hypothetical protein
270,I6J27_01380,QRP19133,type I DNA topoisomerase
271,I6J27_01385,QRP20084,DedA family protein
272,I6J27_01390,QRP19134,cold-shock protein
273,I6J27_01395,QRP19135,DEAD/DEAH box helicase
274,I6J27_01400,QRP19136,flp pilus-assembly TadE/G-like family protein
275,I6J27_01405,QRP19137,hypothetical protein
276,I6J27_01410,QRP19138,DUF4244 domain-containing protein
277,I6J27_01415,QRP19139,type II secretion system F family protein
278,I6J27_01420,QRP19140,type II secretion protein F
279,I6J27_01425,QRP19141,TadA family conjugal transfer-associated ATPase
280,I6J27_01430,QRP19142,septum formation initiator
281,I6J27_01435,QRP19143,HAD family hydrolase
282,I6J27_01440,QRP19144,oxidoreductase
283,I6J27_01445,QRP19145,phage holin family protein
284,I6J27_01450,QRP19146,alpha/beta hydrolase
285,I6J27_01455,QRP19147,ABC transporter substrate-binding protein
286,I6J27_01460,QRP19148,ABC transporter substrate-binding protein
287,I6J27_01465,QRP19149,ABC transporter permease
288,I6J27_01470,QRP19150,ABC transporter permease
289,I6J27_01475,QRP19151,ABC transporter ATP-binding protein
290,I6J27_01480,QRP19152,transposase
291,I6J27_01485,QRP19153,ATP-binding protein
292,I6J27_01490,QRP19154,IS21 family transposase
293,I6J27_01495,QRP19155,IS3 family transposase
294,I6J27_01500,295,transposase
295,I6J27_01505,QRP19156,hypothetical protein
296,I6J27_01510,QRP19157,tetracycline resistance ribosomal protection protein Tet(W)
297,I6J27_01515,QRP20085,hypothetical protein
298,I6J27_01520,299,class I SAM-dependent DNA methyltransferase
299,I6J27_01525,300,IS256 family transposase
300,I6J27_01530,QRP19158,IS3 family transposase
301,I6J27_01535,302,IS256 family transposase
302,I6J27_01540,QRP19159,penicillin-binding protein
303,I6J27_01545,QRP19160,serine hydrolase
304,I6J27_01550,QRP19161,LysR family transcriptional regulator
305,I6J27_01555,QRP20086,helicase-associated domain-containing protein
306,I6J27_01560,QRP19162,IS3 family transposase
307,I6J27_01565,308,SAM-dependent DNA methyltransferase
308,I6J27_01570,QRP20276,hypothetical protein
309,I6J27_01575,QRP19163,recombinase family protein
310,I6J27_01580,QRP20277,hypothetical protein
311,I6J27_01585,QRP19164,MFS transporter
312,I6J27_01590,QRP19165,TetR family transcriptional regulator
313,I6J27_01595,QRP19166,SMI1/KNR4 family protein
314,I6J27_01600,QRP19167,hypothetical protein
315,I6J27_01605,316,IS256-like element IS1249 family transposase
316,I6J27_01610,QRP19168,IS3 family transposase
317,I6J27_01615,318,IS256 family transposase
318,I6J27_01620,QRP19169,ParA family protein
319,I6J27_01625,320,IS3 family transposase
320,I6J27_01630,QRP19170,hypothetical protein
321,I6J27_01635,QRP19171,aminoglycoside N-acetyltransferase AAC(3)-XI
322,I6J27_01640,QRP19172,HAMP domain-containing histidine kinase
323,I6J27_01645,QRP20087,response regulator transcription factor
324,I6J27_01650,QRP19173,DUF418 domain-containing protein
325,I6J27_01655,QRP19174,trypsin-like serine protease
326,I6J27_01660,QRP20088,IS110 family transposase
327,I6J27_01665,QRP19175,ParA family protein
328,I6J27_01670,QRP19176,hypothetical protein
329,I6J27_01675,QRP19177,hypothetical protein
330,I6J27_01680,331,IS3 family transposase
331,I6J27_01685,QRP19178,23S ribosomal RNA methyltransferase Erm
332,I6J27_01690,QRP20089,erythromycin resistance leader peptide
333,I6J27_01695,QRP20090,tetracycline efflux ABC transporter TetAB subunit A
334,I6J27_01700,QRP19179,ABC transporter ATP-binding protein
335,I6J27_01705,QRP19180,YbhB/YbcL family Raf kinase inhibitor-like protein
336,I6J27_01710,QRP19181,hypothetical protein
337,I6J27_01715,QRP19182,quinone-dependent dihydroorotate dehydrogenase
338,I6J27_01720,QRP19183,hypothetical protein
339,I6J27_01725,QRP19184,undecaprenyl-diphosphate phosphatase
340,I6J27_01730,341,IS481-like element ISCgl1 family transposase
341,I6J27_01735,QRP19185,Tn3 family transposase
342,I6J27_01740,343,recombinase family protein
343,I6J27_01745,QRP19186,IS6-like element IS26 family transposase
344,I6J27_01750,QRP19187,aminoglycoside O-phosphotransferase APH(3')-Ia
345,I6J27_01755,QRP19188,IS6-like element IS26 family transposase
346,I6J27_01760,347,recombinase family protein
347,I6J27_01765,QRP19189,aminoglycoside O-phosphotransferase APH(3'')-Ib
348,I6J27_01770,QRP19190,APH(6)-I family aminoglycoside O-phosphotransferase
349,I6J27_01775,350,IS481 family transposase
350,I6J27_01780,QRP19191,chloramphenicol efflux MFS transporter Cmx
351,I6J27_01785,QRP20091,chloramphenicol resistance leader peptide
352,I6J27_01790,QRP19192,IS3 family transposase
353,I6J27_01795,QRP19193,hypothetical protein
354,I6J27_01800,QRP19194,hypothetical protein
355,I6J27_01805,QRP19195,hypothetical protein
356,I6J27_01810,QRP19196,hypothetical protein
357,I6J27_01815,QRP19197,hypothetical protein
358,I6J27_01820,359,IS3 family transposase
359,I6J27_01825,QRP19198,hypothetical protein
360,I6J27_01830,361,IS3 family transposase
361,I6J27_01835,QRP19199,ATP-binding cassette domain-containing protein
362,I6J27_01840,QRP19200,IS3 family transposase
363,I6J27_01845,QRP19201,transposase
364,I6J27_01850,365,DDE-type integrase/transposase/recombinase
365,I6J27_01855,QRP19202,hypothetical protein
366,I6J27_01860,QRP19203,MarP family serine protease
367,I6J27_01865,QRP19204,CoA pyrophosphatase
368,I6J27_01870,QRP19205,TlpA family protein disulfide reductase
369,I6J27_01875,QRP19206,endonuclease III
370,I6J27_01880,QRP19207,Crp/Fnr family transcriptional regulator
371,I6J27_01885,QRP19208,MBL fold metallo-hydrolase
372,I6J27_01890,QRP19209,RidA family protein
373,I6J27_01895,QRP19210,DUF4177 domain-containing protein
374,I6J27_01900,QRP20278,hypothetical protein
375,I6J27_01905,376,IS3 family transposase
376,I6J27_01910,QRP19211,hypothetical protein
377,I6J27_01915,QRP19212,ribonuclease PH
378,I6J27_01920,QRP20092,recombinase family protein
379,I6J27_01925,380,IS6 family transposase
380,I6J27_01930,QRP19213,SulP family inorganic anion transporter
381,I6J27_01935,QRP19214,MerR family transcriptional regulator
382,I6J27_01940,383,IS6 family transposase
383,I6J27_01945,QRP19215,hypothetical protein
384,I6J27_01950,QRP19216,hypothetical protein
385,I6J27_01955,386,transposase
386,I6J27_01960,QRP19217,hypothetical protein
387,I6J27_01965,388,transposase
388,I6J27_01970,QRP19218,IS21 family transposase
389,I6J27_01975,QRP19219,ATP-binding protein
390,I6J27_01980,391,IS3 family transposase
391,I6J27_01985,QRP20093,hypothetical protein
392,I6J27_01990,QRP19220,trypsin-like serine protease
393,I6J27_01995,394,IS3 family transposase
394,I6J27_02000,QRP20094,replication initiation protein
395,I6J27_02005,QRP19221,WhiB family transcriptional regulator
396,I6J27_02010,QRP19222,transglycosylase domain-containing protein
397,I6J27_02015,QRP19223,GatB/YqeY domain-containing protein
398,I6J27_02020,QRP19224,metallophosphoesterase
399,I6J27_02030,QRP19225,hypothetical protein
400,I6J27_02035,QRP19226,catalase
401,I6J27_02040,QRP19227,RNA polymerase sigma factor
402,I6J27_02045,QRP19228,hypothetical protein
403,I6J27_02050,QRP19229,aspartate-semialdehyde dehydrogenase
404,I6J27_02055,QRP19230,aspartate kinase
405,I6J27_02060,QRP19231,DMT family transporter
406,I6J27_02065,QRP19232,hypothetical protein
407,I6J27_02070,QRP19233,2-isopropylmalate synthase
408,I6J27_02075,QRP19234,hypothetical protein
409,I6J27_02080,QRP19235,hypothetical protein
410,I6J27_02085,QRP19236,DNA polymerase III subunit epsilon
411,I6J27_02090,QRP19237,DUF1727 domain-containing protein
412,I6J27_02095,QRP19238,glutamine amidotransferase
413,I6J27_02100,QRP19239,recombination protein RecR
414,I6J27_02105,QRP19240,YbaB/EbfC family nucleoid-associated protein
415,I6J27_02110,QRP19241,DNA polymerase III subunit gamma and tau
416,I6J27_02115,QRP20095,suppressor of fused domain protein
417,I6J27_02120,QRP19242,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme
418,I6J27_02140,QRP19243,methylated-DNA--[protein
419,I6J27_02145,QRP19244,YhgE/Pip domain-containing protein
420,I6J27_02150,QRP19245,YhgE/Pip domain-containing protein
421,I6J27_02155,QRP19246,acyltransferase
422,I6J27_02160,QRP19247,hypothetical protein
423,I6J27_02165,QRP19248,sodium:proton antiporter
424,I6J27_02170,QRP19249,tRNA glutamyl-Q(34) synthetase GluQRS
425,I6J27_02175,QRP19250,hypothetical protein
426,I6J27_02180,QRP19251,hypothetical protein
427,I6J27_02185,QRP19252,hypothetical protein
428,I6J27_02190,QRP19253,hypothetical protein
429,I6J27_02195,QRP19254,hypothetical protein
430,I6J27_02200,QRP19255,hypothetical protein
431,I6J27_02205,QRP19256,hypothetical protein
432,I6J27_02210,QRP19257,hypothetical protein
433,I6J27_02215,QRP19258,VWA domain-containing protein
434,I6J27_02220,QRP20096,hypothetical protein
435,I6J27_02225,QRP19259,queuosine precursor transporter
436,I6J27_02230,QRP19260,tRNA guanosine(34) transglycosylase Tgt
437,I6J27_02235,QRP19261,MMPL family transporter
438,I6J27_02245,QRP19262,CsbD family protein
439,I6J27_02250,QRP20097,nucleoside deaminase
440,I6J27_02255,QRP19263,tRNA adenosine deaminase-associated protein
441,I6J27_02260,QRP19264,prephenate dehydrogenase
442,I6J27_02265,QRP19265,hypothetical protein
443,I6J27_02270,QRP19266,hypothetical protein
444,I6J27_02275,QRP19267,hypothetical protein
445,I6J27_02280,QRP19268,hypothetical protein
446,I6J27_02285,QRP19269,hypothetical protein
447,I6J27_02290,QRP19270,hypothetical protein
448,I6J27_02295,QRP19271,hypothetical protein
449,I6J27_02300,QRP19272,hypothetical protein
450,I6J27_02305,QRP19273,hypothetical protein
451,I6J27_02310,QRP19274,hypothetical protein
452,I6J27_02315,QRP19275,hypothetical protein
453,I6J27_02320,QRP19276,helix-turn-helix domain-containing protein
454,I6J27_02325,QRP19277,hypothetical protein
455,I6J27_02330,QRP19278,tyrosine-type recombinase/integrase
456,I6J27_02340,QRP19279,DASS family sodium-coupled anion symporter
457,I6J27_02345,QRP19280,DUF202 domain-containing protein
458,I6J27_02350,QRP19281,DUF202 domain-containing protein
459,I6J27_02355,QRP19282,MmcQ/YjbR family DNA-binding protein
460,I6J27_02360,QRP19283,TrkA family potassium uptake protein
461,I6J27_02365,QRP20098,TrkH family potassium uptake protein
462,I6J27_02370,QRP19284,NAD-dependent succinate-semialdehyde dehydrogenase
463,I6J27_02375,QRP19285,CueP family metal-binding protein
464,I6J27_02380,QRP19286,cation transporter
465,I6J27_02385,QRP19287,winged helix-turn-helix transcriptional regulator
466,I6J27_02395,QRP19288,hypothetical protein
467,I6J27_02405,QRP19289,helix-turn-helix domain-containing protein
468,I6J27_02410,QRP19290,alpha-keto acid decarboxylase family protein
469,I6J27_02415,QRP19291,histidinol-phosphate transaminase
470,I6J27_02420,QRP19292,MoaD/ThiS family protein
471,I6J27_02425,QRP19293,molybdopterin molybdotransferase MoeA
472,I6J27_02430,QRP19294,MogA/MoaB family molybdenum cofactor biosynthesis protein
473,I6J27_02435,QRP19295,molybdenum cofactor biosynthesis protein MoaE
474,I6J27_02440,QRP19296,ThiF family adenylyltransferase
475,I6J27_02450,QRP19297,NAD(P)H-quinone oxidoreductase
476,I6J27_02455,QRP19298,aminotransferase class V-fold PLP-dependent enzyme
477,I6J27_02460,QRP20099,ABC transporter permease
478,I6J27_02465,QRP19299,ABC transporter ATP-binding protein
479,I6J27_02470,QRP19300,GNAT family N-acetyltransferase
480,I6J27_02475,QRP19301,glycosyltransferase family 2 protein
481,I6J27_02480,QRP19302,GtrA family protein
482,I6J27_02485,QRP20100,GtrA family protein
483,I6J27_02490,QRP19303,hypothetical protein
484,I6J27_02495,QRP19304,hypothetical protein
485,I6J27_02500,QRP19305,hypothetical protein
486,I6J27_02505,QRP19306,FAD-binding oxidoreductase
487,I6J27_02510,QRP19307,decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase
488,I6J27_02515,QRP20101,galactan 5-O-arabinofuranosyltransferase
489,I6J27_02520,QRP19308,arabinosyltransferase domain-containing protein
490,I6J27_02525,QRP20102,PepSY domain-containing protein
491,I6J27_02530,QRP19309,alpha/beta hydrolase fold domain-containing protein
492,I6J27_02535,QRP19310,peptidase M13
493,I6J27_02540,QRP19311,hypothetical protein
494,I6J27_02545,QRP19312,PrsW family intramembrane metalloprotease
